college,long,lat,State
Chapman University,-117.82947,33.793526,California
Chatham College,-79.915862,40.438281,Pennsylvania
Chestnut Hill College,-75.2268789,40.0865064,Pennsylvania
Christendom College,-78.14444352,38.94998615,Virginia
Christian Brothers University,-89.98022498,35.1289696,Tennessee
Christopher Newport University,-76.49557123,37.0637197,Virginia
Claflin College,-80.400692,33.491856,South Carolina
Claremont McKenna College,-117.706353,34.103281,California
Clark University,-71.82295086,42.25146815,Massachusetts
Clarke College,-90.665496,42.494761,Iowa
Clarkson University,-75.00623975,44.65958875,New York
Clemson University,-82.845015,34.678076,South Carolina
Clinch Valley Coll. of the Univ. of Virginia,-83.032126,36.86342,Virginia
Coe College,-91.65696645,41.99059715,Iowa
Coker College,-80.665606,34.37368,South Carolina
Colby College,-69.65845831,44.56118735,Maine
Colgate University,-75.53958156,42.8154037,New York
College Misericordia,-75.976656,41.337745,Pennsylvania
College of Charleston,-79.93757,32.783577,South Carolina
College of Mount St. Joseph,-84.63803736,39.0948316,Ohio
College of Mount St. Vincent,-73.90696802,40.91285705,New York
College of Notre Dame,-76.714283,39.363685,Maryland
College of Notre Dame of Maryland,-76.727179,39.352054,Maryland
College of Saint Benedict,-94.31829629,45.5594818,Minnesota
College of Saint Catherine,-93.175697,44.932426,Minnesota
College of Saint Elizabeth,-74.4376235,40.7809047,New Jersey
College of Saint Rose,-73.78582895,42.6634258,New York
College of Santa Fe,-105.956043,35.652832,New Mexico
College of St. Joseph,-73.0008835,43.6005464,Vermont
College of St. Scholastica,-92.10583,46.81518865,Minnesota
College of William and Mary,-76.72204886,37.26909335,Virginia
College of Wooster,-81.93385832,40.81161765,Ohio
College of the Holy Cross,-71.80702484,42.23668645,Massachusetts
Colorado College,-104.825709,38.847282,Colorado
Colorado State University,-105.081373,40.574301,Colorado
Columbia College,-87.62650391,41.8753881,Illinois
Columbia College MO,-92.3265723,38.9578166,Missouri
Columbia University,-73.96164947,40.80775585,New York
Concordia College at St. Paul,-93.102859,44.961177,Minnesota
Concordia Lutheran College,-96.703906,40.814266,Nebraska
Concordia University,-122.636533,45.578007,Oregon
Concordia University CA,-118.049686,34.008381,California
Connecticut College,-72.107634,41.355376,Connecticut
Converse College,-82.010041,34.932197,South Carolina
Cornell College,-91.42398553,41.9253978,Iowa
Creighton University,-95.94505554,41.26585655,Nebraska
Culver-Stockton College,-91.5316408,40.1288229,Missouri
Cumberland College,-84.52324,36.977107,Kentucky
D'Youville College,-78.89102009,42.9028358,New York
Dana College,-96.476157,41.453748,Nebraska
Daniel Webster College,-71.492872,42.819429,New Hampshire
Dartmouth College,-72.29420887,43.70467565,New Hampshire
Davidson College,-80.83393028,35.5032193,North Carolina
DePauw University,-86.861676,39.6397676,Indiana
Defiance College,-84.35295442,41.2978185,Ohio
Delta State University,-90.73290036,33.747589,Mississippi
Denison University,-82.52248588,40.07300505,Ohio
Dickinson College,-77.19957404,40.20281155,Pennsylvania
Dickinson State University,-77.19797272,40.19987325,Pennsylvania
Dillard University,-90.06536777,29.9962374,Louisiana
Doane College,-96.94717593,40.62131545,Nebraska
Dominican College of Blauvelt,-73.95433458,41.05322915,New York
Dordt College,-96.16404679,43.08066095,Iowa
Dowling College,-73.141269,40.744423,New York
Drake University,-93.65527532,41.60307425,Iowa
Drew University,-74.42816053,40.76053795,New Jersey
Drury College,-93.15117,37.203635,Missouri
Duke University,-78.94422972,36.0001557,North Carolina
Earlham College,-84.91323124,39.8204275,Indiana
East Carolina University,-79.04775327,35.90503535,North Carolina
East Tennessee State University,-82.36945751,36.3022214,Tennessee
East Texas Baptist University,-94.3727409,32.5558775,Texas
Eastern College,-75.455624,40.041381,Pennsylvania
Eastern Connecticut State University,-72.21764904,41.7210177,Connecticut
Eastern Illinois University,-88.17549017,39.479694,Illinois
Eastern Mennonite College,-78.87794515,38.47216285,Virginia
Eastern Nazarene College,-71.01084586,42.2715556,Massachusetts
Eckerd College,-82.6883377,27.7176612,Florida
Elizabethtown College,-76.59008613,40.149469,Pennsylvania
Elmira College,-76.794368,42.089497,New York
Elms College,-72.60042301,42.14190105,Massachusetts
Elon College,-79.5058563,36.1070798,North Carolina
Embry Riddle Aeronautical University,-112.4528493,34.61587285,Arizona
Emory & Henry College,-81.82918716,36.7716217,Virginia
Emory University,-84.3172378,33.80045465,Georgia
Emporia State University,-96.1801001,38.4132728,Kansas
Erskine College,-81.949386,34.422502,South Carolina
Eureka College,-89.26588087,40.71304545,Illinois
Evergreen State College,-122.4545622,47.25648945,Washington
Fairfield University,-73.259332,41.156096,Connecticut
Fayetteville State University,-78.89263536,35.073715,North Carolina
Ferrum College,-80.02813059,36.93142245,Virginia
Flagler College,-81.32070182,29.89339515,Florida
Florida Institute of Technology,-80.62300403,28.064271,Florida
Florida International University,-80.37628328,25.7553898,Florida
Florida Southern College,-81.94554251,28.0304561,Florida
Florida State University,-84.29747867,30.44235995,Florida
Fontbonne College,-90.31570077,38.6416544,Missouri
Fordham University,-73.88603169,40.86173435,New York
Fort Lewis College,-107.632793,37.275899,Colorado
Francis Marion University,-79.676124,34.189051,South Carolina
Franciscan University of Steubenville,-80.62193142,40.376755,Ohio
Franklin College,-86.03725773,39.47660655,Indiana
Franklin Pierce College,-71.4947929,43.2125814,New Hampshire
Freed-Hardeman University,-88.63662785,35.43981645,Tennessee
Fresno Pacific College,-119.725043,36.758232,California
Furman University,-82.437465,34.927948,South Carolina
Gannon University,-80.0867293,42.1281052,Pennsylvania
Gardner Webb University,-81.67023803,35.24782945,North Carolina
Geneva College,-80.32171347,40.77108845,Pennsylvania
George Fox College,-79.8871119,36.0920646,North Carolina
George Mason University,-77.30798839,38.83133325,Virginia
George Washington University,-77.04744828,38.89989375,Washington
Georgetown College,-84.5547021,38.2072849,Kentucky
Georgetown University,-77.07277,38.908971,District of Columbia
Georgia Institute of Technology,-84.39880767,33.7760948,Georgia
Georgia State University,-84.38542087,33.7535889,Georgia
Georgian Court College,-74.125109,40.071098,New Jersey
Gettysburg College,-77.23964054,39.8374688,Pennsylvania
Goldey Beacom College,-75.534827,39.734007,Delaware
Gonzaga University,-117.4030666,47.6662634,Washington
Gordon College,-70.8203006,42.5888528,Massachusetts
Goshen College,-85.82522496,41.56248295,Indiana
Goucher College,-76.59287092,39.408995,Maryland
Grace College and Seminary,-85.84789,41.216342,Indiana
Graceland College,-93.735754,40.73761,Iowa
Grand Valley State University,-85.89964905,42.9678586,Michigan
Green Mountain College,-73.2402675,43.5171266,Vermont
Greensboro College,-79.8008558,36.0713888,North Carolina
Greenville College,-89.40925707,38.89419455,Illinois
Grinnell College,-92.71984863,41.75111985,Iowa
Grove City College,-80.07874862,41.1553489,Pennsylvania
Guilford College,-79.8872571,36.0918026,North Carolina
Gustavus Adolphus College,-93.97404805,44.3217827,Minnesota
Gwynedd Mercy College,-75.23549052,40.19868565,Pennsylvania
Hamilton College,-75.40693894,43.0537974,New York
Hamline University,-93.16459929,44.96649975,Minnesota
Hampden - Sydney College,-78.46056919,37.24237495,Virginia
Hampton University,-76.33862554,37.0210096,Virginia
Hanover College,-85.4610948,38.7141725,Indiana
Hardin-Simmons University,-99.73415759,32.4777117,Texas
Harding University,-91.72633292,35.24577775,Arkansas
Hartwick College,-75.07146883,42.45997815,New York
Harvard University,-71.12221394,42.36574325,Massachusetts
Harvey Mudd College,-117.708388,34.106552,California
Hastings College,-98.36549671,40.5943839,Nebraska
Hendrix College,-73.12294176,40.9118436,New York
Hillsdale College,-84.63023057,41.9318835,Michigan
Hiram College,-81.14306813,41.3136471,Ohio
Hobart and William Smith Colleges,-76.98719739,42.8570498,New York
Hofstra University,-73.6000199,40.7169088,New York
Hollins College,-79.947051,37.330559,Virginia
Hood College,-77.41891707,39.4229618,Maryland
Hope College,-86.09964267,42.7867245,Michigan
Houghton College,-78.489914,42.418601,New York
Huntingdon College,-86.2852461,32.3509723,Alabama
Huntington College,-85.50221185,40.89905155,Indiana
Huron University,-98.210429,44.353174,South Dakota
Husson College,-70.2175542,44.0984065,Maine
Illinois Benedictine College,-88.071627,41.844669,Illinois
Illinois College,-90.24647315,39.7291655,Illinois
Illinois Institute of Technology,-87.62647228,41.83616405,Illinois
Illinois State University,-89.00846071,40.51799375,Illinois
Illinois Wesleyan University,-88.99042108,40.49242715,Illinois
Immaculata College,-75.657,40.0364,Pennsylvania
Incarnate Word College,-98.463476,29.462528,Texas
Indiana State University,-87.40819676,39.4703727,Indiana
Indiana University at Bloomington,-86.526781,39.167723,Indiana
Indiana Wesleyan University,-85.66411627,40.51642705,Indiana
Iona College,-73.7882666,40.9252494,New York
Iowa State University,-93.64473746,42.0279608,Iowa
Ithaca College,-76.49832946,42.41970355,New York
James Madison University,-78.86896481,38.4364404,Virginia
Jamestown College,-98.705941,46.902984,North Dakota
Jersey City State College,-74.077624,40.71769,New Jersey
John Brown University,-92.3646106,34.7773056,Arkansas
John Carroll University,-81.52872292,41.4904062,Ohio
Johns Hopkins University,-76.62185358,39.33020225,Maryland
Johnson State College,-72.6669458,44.6445964,Vermont
Judson College,-87.31309343,32.62940855,Alabama
Juniata College,-78.0151628,40.5012255,Pennsylvania
Kansas State University,-96.58845116,39.20883,Kansas
Kansas Wesleyan University,-97.61005437,38.8135329,Kansas
Keene State College,-72.28296164,42.92527915,New Hampshire
Kentucky Wesleyan College,-87.12070052,37.74292605,Kentucky
Kenyon College,-82.3942746,40.3725696,Ohio
Keuka College,-77.08995736,42.6147014,New York
King College,-81.68203003,36.2173887,North Carolina
King's College,-75.963166,41.239133,Pennsylvania
Knox College,-90.37225827,40.9419283,Illinois
La Roche College,-80.0158079,40.5672711,Pennsylvania
La Salle University,-75.15402197,40.0374268,Pennsylvania
LaGrange College,-85.04675028,33.03381105,Georgia
Lafayette College,-75.20924605,40.6986835,Pennsylvania
Lake Forest College,-87.82948207,42.24761745,Illinois
Lakeland College,-87.83889,43.75292,Wisconsin
Lamar University,-94.07589293,30.03889465,Texas
Lambuth University,-88.828114,35.6236835,Tennessee
Lander University,-82.023945,34.179184,South Carolina
Lawrence University,-88.398891,44.2607247,Wisconsin
Le Moyne College,-76.08517611,43.04834115,New York
LeTourneau University,-94.72644452,32.46575895,Texas
Lebanon Valley College,-76.5143645,40.3324015,Pennsylvania
Lehigh University,-75.3782488,40.6068028,Pennsylvania
Lenoir-Rhyne College,-81.346549,35.731714,North Carolina
Lesley College,-71.11696705,42.380419,Massachusetts
Lewis University,-88.08221383,41.60277235,Illinois
Lewis and Clark College,-122.6700384,45.44850495,Oregon
Lincoln Memorial University,-83.66162405,36.5718381,Tennessee
Lincoln University,-75.92870551,39.8065518,Pennsylvania
Lindenwood College,-90.563609,39.804147,Missouri
Linfield College,-123.1981384,45.1984734,Oregon
Livingstone College,-80.48567951,35.67128695,North Carolina
Lock Haven University of Pennsylvania,-77.46248455,41.140913,Pennsylvania
Longwood College,-78.13357,37.292766,Virginia
Loras College,-90.6815163,42.5041692,Iowa
Louisiana College,-92.442139,31.337159,Louisiana
Louisiana State University at Baton Rouge,-91.186825,30.414469,Louisiana
Louisiana Tech University,-92.64780154,32.5263599,Louisiana
Loyola College,-76.621566,38.98193,Maryland
Loyola Marymount University,-118.421642,33.967661,California
Loyola University,-90.12045156,29.9356364,Louisiana
Loyola University Chicago,-87.65737042,41.9991492,Illinois
Luther College,-91.813073,43.313446,Iowa
Lycoming College,-76.99988255,41.2454429,Pennsylvania
Lynchburg College,-79.167787,37.414838,Virginia
Lyndon State College,-72.02475346,44.53485005,Vermont
MacMurray College,-90.22311044,39.73089025,Illinois
Macalester College,-93.16928542,44.9376912,Minnesota
Malone College,-81.37980062,40.8265967,Ohio
Manchester College,-85.369006,40.969256,Indiana
Manhattan College,-73.90431468,40.8874403,New York
Manhattanville College,-73.7155858,41.0313935,New York
Mankato State University,-93.99775247,44.1453537,Minnesota
Marian College of Fond du Lac,-88.448313,43.798138,Wisconsin
Marietta College,-81.44842251,39.41609505,Ohio
Marist College,-73.938819,41.727483,New York
Marquette University,-87.93158327,43.03888115,Wisconsin
Marshall University,-82.42740243,38.42362575,West Virginia
Mary Baldwin College,-79.0681974,38.15402875,Virginia
Mary Washington College,-122.2922133,48.435934,Washington
Marymount College Tarrytown,-73.868521,41.056002,New York
Marymount Manhattan College,-73.95969635,40.76893065,New York
Marymount University,-77.12768184,38.9054445,Virginia
Maryville College,-83.9642249,35.751472,Tennessee
Maryville University,-90.5043057,38.6458826,Missouri
Marywood College,-75.650252,41.446298,Pennsylvania
Massachusetts Institute of Technology,-71.09662724,42.3582529,Massachusetts
Mayville State University,-97.32007638,47.5049914,North Dakota
McKendree College,-85.9660744,37.8317345,Kentucky
McMurry University,-99.74874358,32.42933465,Texas
McPherson College,-97.64194996,38.37222595,Kansas
Mercer University,-83.65067021,32.8289341,Georgia
Mercyhurst College,-79.835547,42.2201193,Pennsylvania
Meredith College,-78.6889369,35.79821395,North Carolina
Merrimack College,-71.12292178,42.66688065,Massachusetts
Mesa State College,-108.603864,39.064703,Colorado
Messiah College,-76.99268166,40.15912375,Pennsylvania
Miami University at Oxford,-84.745231,39.50735,Ohio
Michigan State University,-84.48038687,42.70237935,Michigan
Michigan Technological University,-88.55115133,47.1099114,Michigan
MidAmerica Nazarene College,-94.775643,38.873551,Kansas
Millersville University of Penn.,-76.354135,40.007741,Pennsylvania
Milligan College,-82.29482628,36.3020499,Tennessee
Millikin University,-88.97426281,39.842988,Illinois
Millsaps College,-90.1798534,32.32193895,Mississippi
Milwaukee School of Engineering,-87.90793615,43.04576595,Wisconsin
Mississippi College,-90.33188238,32.3354174,Mississippi
Mississippi State University,-88.7943232,33.4386876,Mississippi
Mississippi University for Women,-88.41966236,33.49080445,Mississippi
Missouri Southern State College,-94.583381,37.084828,Missouri
Missouri Valley College,-93.19077081,39.10644115,Missouri
Monmouth College,-90.63839027,40.9144918,Illinois
Monmouth College IL,-90.63839027,40.9144918,Illinois
Montana College of Mineral Sci. & Tech.,-112.037811,46.011859,Montana
Montana State University,-111.0793057,45.66381885,Montana
Montclair State University,-74.19692132,40.86468785,New Jersey
Montreat-Anderson College,-82.295856,35.642148,North Carolina
Moorhead State University,-96.75641238,46.8672113,Minnesota
Moravian College,-75.38230097,40.6182869,Pennsylvania
Morehouse College,-84.41609506,33.74737405,Georgia
Morningside College,-96.36011662,42.4744179,Iowa
Morris College,-80.241073,33.699742,South Carolina
Mount Holyoke College,-72.56966884,42.25532845,Massachusetts
Mount Marty College,-97.41017806,42.8729932,South Dakota
Mount Mary College,-88.03145158,43.07252155,Wisconsin
Mount Mercy College,-91.20483,41.986238,Iowa
Mount Saint Clare College,-90.51461,40.420681,Iowa
Mount Saint Mary College,-74.01293212,41.5118052,New York
Mount Saint Mary's College,-84.3717683,39.08308995,Ohio
Mount St. Mary's College,-76.285285,40.515679,Maryland
Mount Union College,-81.375067,40.915924,Ohio
Mount Vernon Nazarene College,-82.408412,40.391503,Ohio
Muhlenberg College,-75.51048391,40.59758265,Pennsylvania
Murray State University,-88.322088,36.6129699,Kentucky
Muskingum College,-81.7367946,39.9961837,Ohio
National-Louis University,-87.621432,41.925329,Illinois
Nazareth College of Rochester,-77.52006822,43.1025786,New York
New Jersey Institute of Technology,-74.1790316,40.7421254,New Jersey
New Mexico Institute of Mining and Tech.,-107.741969,34.067307,New Mexico
New York University,-73.99501481,40.7292053,New York
Newberry College,-81.627028,34.28522,South Carolina
Niagara University,-79.03488918,43.13660305,New York
North Adams State College,-73.1045006,42.6916179,Massachusetts
North Carolina A. & T. State University,-79.773821,36.076662,North Carolina
North Carolina State University at Raleigh,-78.674307,35.783101,North Carolina
North Carolina Wesleyan College,-77.77490979,36.01543505,North Carolina
North Central College,-88.14274924,41.77436545,Illinois
North Dakota State University,-96.81826543,46.897155,North Dakota
North Park College,-87.712841,41.97868,Illinois
Northeast Missouri State University,-91.94695,40.201682,Missouri
Northeastern University,-71.08783834,42.33907025,Massachusetts
Northern Arizona University,-111.6550004,35.1834428,Arizona
Northern Illinois University,-88.78267841,41.9370934,Illinois
Northwest Missouri State University,-94.88624744,40.35422615,Missouri
Northwest Nazarene College,-116.92515,43.586575,Idaho
Northwestern College,-96.05432154,42.9988704,Iowa
Northwestern University,-87.67529455,42.0557157,Illinois
Norwich University,-72.66126955,44.13917905,Vermont
Notre Dame College,-81.51602277,41.50719985,Ohio
Oakland University,-83.20655752,42.66663325,Michigan
Oberlin College,-82.22146701,41.2959178,Ohio
Occidental College,-118.210239,34.126399,California
Oglethorpe University,-84.3343891,33.8763258,Georgia
Ohio Northern University,-83.83356241,40.76557505,Ohio
Ohio University,-82.10156481,39.32417815,Ohio
Ohio Wesleyan University,-83.06427625,40.292858,Ohio
Oklahoma Baptist University,-96.9311341,35.3606255,Oklahoma
Oklahoma Christian University,-97.47031966,35.6127098,Oklahoma
Oklahoma State University,-96.350966,36.128359,Oklahoma
Otterbein College,-82.93625856,40.12769685,Ohio
Ouachita Baptist University,-93.05250678,34.1307617,Arkansas
Our Lady of the Lake University,-98.54353418,29.42700265,Texas
Pace University,-74.00480444,40.7111164,New York
Pacific Lutheran University,-122.4443889,47.14375725,Washington
Pacific Union College,-122.447501,38.570669,California
Pacific University,-123.1091121,45.52186005,Oregon
Pembroke State University,-73.7298881,40.7741237,New York
Pennsylvania State Univ. Main Campus,-77.858259,40.798214,Pennsylvania
Pepperdine University,-118.599893,34.041448,California
Peru State College,-95.7311147,40.4735064,Nebraska
Pfeiffer College,-80.439413,35.482512,North Carolina
Philadelphia Coll. of Textiles and Sci.,-75.180793,40.026173,Pennsylvania
Phillips University,-93.6393432,42.0007192,Iowa
Piedmont College,-83.5427252,34.5660291,Georgia
Pikeville College,-82.5209472,37.478897,Kentucky
Pitzer College,-117.710133,34.097486,California
Point Loma Nazarene College,-117.259517,32.719998,California
Point Park College,-79.993869,40.441737,Pennsylvania
Polytechnic University,-73.936046,40.694154,New York
Prairie View A. and M. University,-95.986187,30.080243,Texas
Presbyterian College,-81.934384,34.439996,South Carolina
Princeton University,-74.65836549,40.33867515,New Jersey
Providence College,-71.43548863,41.8442938,Rhode Island
Purdue University at West Lafayette,-86.919116,40.428879,Indiana
Queens College,-73.816307,40.736336,New York
Quincy University,-91.3896918,39.95544185,Illinois
Quinnipiac College,-72.916878,41.453352,Connecticut
Radford University,-80.54996124,37.13702415,Virginia
Ramapo College of New Jersey,-74.17382352,41.08224455,New Jersey
Randolph-Macon College,-77.47954213,37.7625105,Virginia
Randolph-Macon Woman's College,-79.276059,37.415444,Virginia
Reed College,-122.6310136,45.48149925,Oregon
Regis College,-71.30852443,42.3506516,Massachusetts
Rensselaer Polytechnic Institute,-73.67966782,42.7298969,New York
Rhodes College,-89.98893549,35.15564375,Tennessee
Rider University,-74.74044674,40.28155125,New Jersey
Ripon College,-88.85393861,43.84102355,Wisconsin
Rivier College,-71.490162,42.729263,New Hampshire
Roanoke College,-77.02270613,36.3261617,North Carolina
Rockhurst College,-94.59462323,39.05185585,Missouri
Rocky Mountain College,-108.5548196,45.79702385,Montana
Roger Williams University,-71.2619371,41.64921,Rhode Island
Rollins College,-81.3489577,28.5925001,Florida
Rosary College,-87.878914,41.890832,Illinois
Rowan College of New Jersey,-75.05700713,39.4386372,New Jersey
Rutgers State University at Camden,-75.121214,39.949062,New Jersey
Rutgers State University at Newark,-74.190218,40.74366,New Jersey
Rutgers at New Brunswick,-74.45326658,40.50397805,New Jersey
SUNY College  at Brockport,-77.95135867,43.209853,New York
SUNY College at Buffalo,-78.88394221,42.9336675,New York
SUNY College at Cortland,-76.19617275,42.5927112,New York
SUNY College at Fredonia,-79.318282,42.456042,New York
SUNY College at Geneseo,-77.821457,42.796089,New York
SUNY College at New Paltz,-74.085488,41.724346,New York
SUNY College at Oswego,-76.539664,43.449875,New York
SUNY College at Plattsburgh,-73.454792,44.695855,New York
SUNY College at Potsdam,-74.978676,44.664511,New York
SUNY College at Purchase,-73.706167,41.047138,New York
SUNY at Albany,-73.820929,42.689242,New York
SUNY at Binghamton,-75.97066066,42.08779975,New York
SUNY at Buffalo,-78.7852135,43.00188805,New York
SUNY at Stony Brook,-73.126401,40.914477,New York
Sacred Heart University,-73.249658,41.199799,Connecticut
Saint Ambrose University,-90.576968,41.529904,Iowa
Saint Anselm College,-71.50775002,42.98355765,New Hampshire
Saint Cloud State University,-94.15122846,45.54781165,Minnesota
Saint Francis College,-73.99220307,40.6930666,New York
Saint Francis College IN,-85.17898051,41.08693075,Indiana
Saint John's University,-94.39463249,45.58088975,Minnesota
Saint Joseph College,-72.523259,41.979789,Connecticut
Saint Joseph's College,-70.304215,43.804975,Maine
Saint Joseph's College IN,-86.928394,39.909387,Indiana
Saint Joseph's University,-75.24151167,39.99652965,Pennsylvania
Saint Louis University,-90.23184327,38.635359,Missouri
Saint Mary's College,-86.25628011,41.70747445,Indiana
Saint Mary's College of Minnesota,-92.999481,44.036951,Minnesota
Saint Mary-of-the-Woods College,-87.45979484,39.509411,Indiana
Saint Michael's College,-73.16559402,44.4952594,Vermont
Saint Olaf College,-93.16009,44.461472,Minnesota
Saint Peter's College,-74.078612,40.731172,New Jersey
Saint Vincent College,-79.40458639,40.28999185,Pennsylvania
Saint Xavier University,-87.71463118,41.70792405,Illinois
Salem College,-80.23981471,36.0861216,North Carolina
Salem-Teikyo University,-80.584677,39.512458,West Virginia
Salisbury State University,-75.600098,38.348238,Maryland
Samford University,-86.7933225,33.4651067,Alabama
San Diego State University,-117.146139,32.775724,California
Santa Clara University,-121.941705,37.349158,California
Sarah Lawrence College,-73.84497733,40.9344239,New York
Savannah Coll. of Art and Design,-81.097937,32.071527,Georgia
Schreiner College,-99.243186,30.019445,Texas
Scripps College,-117.70956,34.104834,California
Seattle Pacific University,-122.3619664,47.64886755,Washington
Seattle University,-122.3187983,47.60950425,Washington
Seton Hall University,-74.24689208,40.7433314,New Jersey
Seton Hill College,-79.582938,40.312116,Pennsylvania
Shippensburg University of Penn.,-77.309418,40.05526,Pennsylvania
Shorter College,-85.19527511,34.25942875,Georgia
Siena College,-73.66783,42.718873,New York
Siena Heights College,-83.774108,41.911896,Michigan
Simmons College,-71.10043184,42.33893545,Massachusetts
Simpson College,-93.56605457,41.36633315,Iowa
Sioux Falls College,-96.722343,43.533277,South Dakota
Skidmore College,-73.783985,43.098732,New York
Smith College,-72.64039315,42.31622385,Massachusetts
