Account Number,Score_Busy,Score_Cleanliness,Score_Cost,Score_Overall,Date
11904,10,9,10,10,25/3/2019
10519,9,8,1,4,7/12/2019
10519,9,9,3,8,5/9/2019
10519,10,8,3,5,4/6/2019
6233,1,7,7,3,25/12/2019
6233,2,8,5,3,27/9/2019
6233,1,8,5,6,23/6/2019
6233,2,6,6,4,9/3/2019
6570,8,6,8,8,18/12/2019
6570,8,7,7,7,27/9/2019
6570,10,7,6,6,14/6/2019
6570,10,8,4,8,25/3/2019
2790,6,8,4,6,27/12/2019
35,7,10,1,8,15/12/2019
35,6,6,2,6,22/9/2019
11379,5,6,7,6,14/12/2019
11379,7,8,9,6,11/9/2019
11379,8,7,10,10,22/6/2019
11379,9,7,10,10,21/3/2019
11406,6,6,8,6,30/12/2019
11406,4,8,10,9,8/9/2019
11406,4,10,10,9,21/6/2019
11406,5,10,10,7,15/3/2019
3486,7,6,9,7,26/12/2019
11260,2,3,8,6,29/12/2019
11260,3,4,6,4,5/9/2019
11260,4,5,8,4,22/6/2019
11260,4,3,10,5,6/3/2019
11840,4,2,1,1,10/12/2019
11840,6,3,1,2,5/9/2019
11840,6,5,1,3,17/6/2019
5959,9,2,3,2,3/12/2019
5959,9,3,5,7,15/9/2019
5959,10,5,5,7,29/6/2019
5959,9,7,5,5,28/3/2019
6652,8,2,8,4,25/12/2019
6652,5,9,6,6,1/9/2019
6652,8,6,7,7,14/6/2019
8231,3,6,7,5,28/12/2019
8231,2,5,9,7,1/9/2019
8231,4,4,10,5,9/6/2019
8231,4,2,10,7,15/3/2019
12318,3,3,7,6,20/12/2019
12318,5,3,6,4,29/9/2019
12318,6,5,5,5,20/6/2019
12318,6,4,4,3,17/3/2019
7968,2,10,8,4,31/12/2019
7968,2,9,7,6,19/9/2019
440,7,8,2,3,4/12/2019
440,8,7,1,5,24/9/2019
440,10,6,1,7,7/6/2019
440,9,6,1,3,16/3/2019
531,4,2,8,3,22/12/2019
531,3,10,7,6,24/9/2019
531,3,10,8,8,3/6/2019
531,2,8,6,3,25/3/2019
5231,4,8,3,6,29/12/2019
5231,2,9,3,5,5/9/2019
5231,1,9,3,4,23/6/2019
5231,3,10,2,4,18/3/2019
8494,7,8,3,6,11/12/2019
8494,9,10,5,7,1/9/2019
6174,7,9,9,6,17/12/2019
6174,6,10,8,7,20/9/2019
6174,5,8,7,8,6/6/2019
6174,7,10,9,7,17/3/2019
2431,4,7,9,8,31/12/2019
2431,3,5,10,6,4/9/2019
2431,2,7,9,7,13/6/2019
5299,8,7,5,4,7/12/2019
5299,10,7,7,6,30/9/2019
5299,9,1,8,7,11/6/2019
5299,8,1,7,3,7/3/2019
8283,5,8,7,7,5/12/2019
10410,5,7,3,4,23/12/2019
10410,7,6,4,3,9/9/2019
10410,6,5,3,6,5/6/2019
10410,4,4,1,4,11/3/2019
12161,6,4,7,7,30/12/2019
12161,4,4,9,3,22/9/2019
12161,5,3,8,5,3/6/2019
748,1,6,3,4,24/12/2019
748,1,4,5,5,18/9/2019
748,3,2,6,1,9/6/2019
748,1,4,7,2,27/3/2019
11598,4,7,10,9,9/12/2019
11598,1,2,2,1,10/9/2019
11598,1,2,1,1,23/6/2019
11598,1,2,3,2,26/3/2019
7768,4,9,4,3,16/12/2019
7768,3,7,3,6,18/9/2019
7768,4,6,3,6,15/6/2019
7768,4,5,3,3,22/3/2019
7434,7,3,9,4,17/12/2019
7434,7,4,9,7,23/9/2019
7434,4,7,2,3,19/6/2019
7434,5,9,2,4,23/3/2019
486,8,3,10,7,8/12/2019
486,8,5,10,6,8/9/2019
486,9,5,9,7,5/6/2019
486,10,7,8,7,17/3/2019
7073,6,9,2,6,20/12/2019
7073,8,10,2,7,25/9/2019
7073,6,10,2,4,12/6/2019
4366,7,2,7,7,11/12/2019
4366,5,1,6,4,7/9/2019
4366,7,2,4,5,3/6/2019
4366,7,7,8,9,17/3/2019
7428,1,8,6,4,31/12/2019
7428,1,10,5,7,7/9/2019
7428,3,9,5,6,12/6/2019
7428,4,10,4,6,8/3/2019
1211,10,8,1,8,31/12/2019
1211,9,9,3,8,19/9/2019
1211,7,10,3,7,23/6/2019
1211,9,8,2,5,5/3/2019
9253,7,3,9,8,24/12/2019
9253,10,3,6,4,6/9/2019
9253,1,1,7,3,10/6/2019
9253,1,3,9,5,17/3/2019
2815,8,8,6,7,10/12/2019
2815,10,9,7,8,6/9/2019
2815,8,10,5,6,29/6/2019
2815,8,8,3,8,15/3/2019
7391,4,4,9,6,22/12/2019
7391,3,8,7,5,21/9/2019
7391,4,6,9,4,27/6/2019
7391,6,7,9,8,29/3/2019
9617,8,10,3,9,8/12/2019
9617,7,8,4,4,28/9/2019
9617,3,2,1,3,1/6/2019
9617,3,1,2,1,25/3/2019
6016,3,8,2,3,9/12/2019
6016,2,10,1,5,24/9/2019
4857,3,8,6,5,9/12/2019
4857,2,9,5,4,18/9/2019
4857,4,10,6,5,28/6/2019
4857,3,10,5,6,7/3/2019
2984,9,3,2,5,30/12/2019
2984,1,1,3,1,10/9/2019
2984,2,3,1,1,12/6/2019
860,3,3,8,3,13/12/2019
860,1,2,10,5,24/9/2019
860,3,1,10,6,21/6/2019
9579,9,9,3,9,6/12/2019
9579,7,7,4,4,23/9/2019
9579,9,8,4,5,2/6/2019
9579,8,8,2,6,2/3/2019
9099,5,7,9,6,18/12/2019
9099,3,3,10,6,30/9/2019
9099,5,6,10,7,17/6/2019
9099,7,4,10,8,3/3/2019
7021,7,3,7,3,13/12/2019
7021,3,10,7,6,19/9/2019
7021,3,8,9,8,15/6/2019
7021,5,10,9,9,4/3/2019
9002,6,8,7,9,31/12/2019
9002,4,8,6,5,26/9/2019
9002,2,9,4,7,26/6/2019
9002,1,9,4,5,9/3/2019
3307,1,8,3,4,2/12/2019
3307,1,10,2,6,5/9/2019
3307,3,10,4,7,11/6/2019
3307,8,4,7,5,10/3/2019
5582,4,9,6,7,10/12/2019
5582,3,7,5,3,7/9/2019
5582,3,7,4,2,16/6/2019
10478,2,1,10,3,14/12/2019
10478,1,3,10,3,10/9/2019
10478,3,1,8,4,23/6/2019
922,4,8,3,5,18/12/2019
922,5,4,6,5,28/9/2019
8752,6,3,3,3,2/12/2019
5320,6,9,2,4,3/12/2019
5320,5,10,1,5,28/9/2019
5320,6,8,2,4,27/6/2019
5320,5,10,1,7,17/3/2019
813,8,6,2,4,24/12/2019
813,10,4,3,5,24/9/2019
813,3,8,3,6,26/6/2019
813,2,8,2,2,25/3/2019
7962,8,10,2,8,9/12/2019
7962,9,8,1,7,23/9/2019
8121,7,9,6,7,27/12/2019
8121,7,10,8,8,4/9/2019
8121,8,9,6,7,30/6/2019
8121,6,9,7,6,11/3/2019
6925,1,9,6,5,23/12/2019
6925,10,8,2,5,1/9/2019
6925,10,9,2,6,5/6/2019
10576,6,9,9,6,10/12/2019
5849,5,5,1,3,30/12/2019
5849,4,5,1,2,29/9/2019
5849,3,7,7,4,14/6/2019
7530,9,9,3,8,12/12/2019
7530,8,9,1,8,30/9/2019
7530,9,10,1,8,2/6/2019
7530,10,9,2,5,24/3/2019
5174,4,3,6,4,2/12/2019
5174,5,3,6,4,24/9/2019
5174,3,3,6,5,4/6/2019
5174,5,5,4,2,10/3/2019
9639,10,8,9,9,28/12/2019
9639,9,9,8,9,24/9/2019
9639,9,8,9,7,18/6/2019
9639,3,5,8,5,3/3/2019
6796,6,10,7,9,7/12/2019
6796,8,6,1,7,29/9/2019
6796,6,6,1,6,4/6/2019
6796,8,7,1,6,17/3/2019
4334,10,7,7,7,2/12/2019
4334,9,6,5,4,11/9/2019
4334,10,6,3,8,28/6/2019
4334,8,4,4,4,10/3/2019
678,4,2,3,4,27/12/2019
678,5,1,4,4,12/9/2019
678,5,3,2,4,11/6/2019
678,4,1,4,3,27/3/2019
5563,10,6,7,8,9/12/2019
5563,7,8,8,5,17/9/2019
5563,8,6,8,8,7/6/2019
6892,1,10,10,9,3/12/2019
6892,1,10,10,9,19/9/2019
6892,5,7,1,3,3/6/2019
6892,5,3,8,5,15/3/2019
11443,8,8,3,8,27/12/2019
11443,6,6,5,6,19/9/2019
11443,3,10,7,8,18/6/2019
11443,9,7,6,8,21/3/2019
1428,6,10,3,7,7/12/2019
1428,3,8,8,6,1/9/2019
1428,3,7,7,4,17/6/2019
1428,3,5,9,3,8/3/2019
3249,4,1,3,3,11/12/2019
3249,2,1,4,2,17/9/2019
3249,3,3,6,6,2/6/2019
3249,4,1,1,1,16/3/2019
379,6,5,7,7,17/12/2019
379,4,7,7,6,21/9/2019
9914,6,8,8,5,22/12/2019
9914,5,6,9,5,16/9/2019
9914,3,6,10,4,2/6/2019
9914,1,5,9,7,20/3/2019
4686,4,7,1,6,18/12/2019
7184,5,5,6,3,25/12/2019
7184,7,7,7,9,29/9/2019
7184,8,9,8,9,27/6/2019
7184,8,9,9,10,16/3/2019
6296,1,4,3,1,24/12/2019
6296,8,7,10,8,24/9/2019
6296,6,6,9,6,2/6/2019
6296,5,8,10,8,2/3/2019
10905,1,7,10,5,1/12/2019
10905,1,8,10,7,14/9/2019
10905,1,8,10,5,22/6/2019
10905,1,7,10,6,27/3/2019
6054,8,1,1,3,24/12/2019
6054,10,2,1,4,28/9/2019
6054,10,1,3,3,6/6/2019
6054,10,1,1,6,5/3/2019
2192,7,8,4,5,7/12/2019
2192,5,7,2,3,13/9/2019
1454,8,7,8,5,18/12/2019
1454,8,5,9,8,29/9/2019
1454,7,3,9,5,19/6/2019
1454,5,2,10,4,29/3/2019
2060,3,8,3,6,16/12/2019
2060,4,8,4,6,18/9/2019
2060,9,3,3,3,20/6/2019
2060,8,3,1,3,16/3/2019
5061,4,10,9,6,9/12/2019
3640,6,7,8,7,26/12/2019
3640,7,7,8,6,19/9/2019
3640,7,6,8,5,23/6/2019
1603,5,1,5,5,3/12/2019
1603,10,3,3,5,13/9/2019
1603,5,6,9,5,18/6/2019
1603,6,8,6,5,11/3/2019
11492,7,10,5,5,1/12/2019
11492,5,9,3,3,27/9/2019
11492,4,10,4,8,6/6/2019
11492,5,9,2,7,22/3/2019
6353,9,7,7,5,9/12/2019
6353,6,8,4,6,2/9/2019
6353,8,6,2,4,30/6/2019
6353,10,4,1,6,7/3/2019
12030,7,6,7,4,29/12/2019
12030,7,8,5,7,27/9/2019
12030,5,6,6,7,16/6/2019
11790,3,3,6,4,21/12/2019
11790,2,2,4,1,11/9/2019
469,6,8,1,7,22/12/2019
469,7,7,2,4,10/9/2019
469,9,6,4,7,9/6/2019
469,10,2,3,3,27/3/2019
1933,3,10,2,4,18/12/2019
1933,1,10,2,3,12/9/2019
1933,1,9,4,4,14/6/2019
1933,2,9,6,6,24/3/2019
10510,3,7,7,3,28/12/2019
8200,1,3,8,4,15/12/2019
8200,1,2,7,3,16/9/2019
8200,1,4,7,5,6/6/2019
8200,1,2,8,5,13/3/2019
332,1,6,7,5,13/12/2019
332,1,4,5,4,25/9/2019
332,1,6,7,5,18/6/2019
332,1,8,7,5,21/3/2019
11018,7,7,7,8,5/12/2019
11018,5,9,8,5,1/9/2019
11018,5,7,8,4,17/6/2019
11018,4,6,9,5,10/3/2019
9813,7,7,8,8,15/12/2019
9813,9,9,8,10,20/9/2019
4099,1,6,5,5,6/12/2019
4099,3,5,7,6,15/9/2019
4099,4,7,8,7,3/6/2019
4099,3,6,7,7,2/3/2019
6706,1,7,3,2,16/12/2019
6706,2,8,1,4,19/9/2019
6706,1,6,2,2,22/6/2019
6706,2,5,4,3,28/3/2019
8451,5,8,10,5,19/12/2019
8451,4,9,10,7,15/9/2019
8451,5,8,10,7,8/6/2019
1785,3,6,10,6,12/12/2019
1785,6,8,3,7,10/9/2019
1785,6,9,2,5,12/6/2019
1785,6,8,3,7,16/3/2019
6963,6,7,5,5,21/12/2019
6963,5,7,3,3,24/9/2019
6963,4,8,4,4,5/6/2019
6963,2,8,4,6,8/3/2019
5527,6,4,9,8,9/12/2019
5527,5,4,9,7,11/9/2019
5527,7,4,8,6,8/6/2019
5527,9,3,7,8,27/3/2019
9087,5,8,10,5,1/12/2019
9087,5,6,10,6,12/9/2019
9087,7,4,10,6,18/6/2019
9087,7,3,10,6,29/3/2019
11274,5,5,8,4,3/12/2019
11274,7,4,10,9,16/9/2019
11274,8,6,9,5,30/6/2019
11274,9,4,9,9,3/3/2019
12039,5,10,5,5,14/12/2019
12039,6,9,10,8,18/9/2019
12039,9,6,7,6,5/6/2019
12039,10,5,7,8,2/3/2019
8945,1,6,7,2,11/12/2019
8945,1,4,6,1,3/9/2019
8945,1,6,8,7,9/6/2019
8945,3,4,9,4,7/3/2019
602,10,6,7,8,20/12/2019
602,8,8,8,6,30/9/2019
602,9,6,8,9,1/6/2019
602,10,3,1,3,30/3/2019
9969,3,10,9,6,1/12/2019
9969,5,8,10,8,11/9/2019
9969,2,3,10,4,21/6/2019
9969,3,5,10,4,22/3/2019
2650,2,5,4,5,11/12/2019
2650,1,5,5,1,25/9/2019
2650,1,7,6,2,6/6/2019
2650,1,5,4,2,28/3/2019
7889,6,7,3,5,17/12/2019
7889,6,9,2,5,3/9/2019
7889,5,8,4,4,6/6/2019
7889,7,7,6,5,13/3/2019
11279,6,8,8,5,29/12/2019
11279,8,10,9,10,7/9/2019
11279,9,10,7,9,7/6/2019
120,2,7,2,3,7/12/2019
120,4,8,1,2,20/9/2019
120,5,9,1,4,2/6/2019
120,5,9,3,3,15/3/2019
8109,8,8,6,5,14/12/2019
8109,10,7,4,9,20/9/2019
7802,5,6,6,6,3/12/2019
7802,3,6,5,2,24/9/2019
7802,5,6,7,5,11/6/2019
7802,6,8,9,6,12/3/2019
4244,5,7,4,3,12/12/2019
4244,5,7,5,7,28/9/2019
4244,5,9,6,8,12/6/2019
4244,6,9,4,6,6/3/2019
6839,2,3,1,1,15/12/2019
6839,2,1,1,3,15/9/2019
6839,4,1,3,2,3/6/2019
1625,4,8,6,7,30/12/2019
1625,6,8,7,7,5/9/2019
1625,8,9,5,6,15/6/2019
1625,8,3,7,5,28/3/2019
1727,4,7,5,5,13/12/2019
1727,2,8,6,7,11/9/2019
1727,1,7,8,3,3/6/2019
1727,3,6,6,6,13/3/2019
9203,7,3,3,5,27/12/2019
9203,8,5,3,4,27/9/2019
9203,9,5,4,4,7/6/2019
1926,3,2,7,6,15/12/2019
1926,5,4,9,7,26/9/2019
1926,4,5,7,7,10/6/2019
1926,4,4,8,4,5/3/2019
3225,7,5,10,7,12/12/2019
3225,7,7,8,9,11/9/2019
6926,4,7,9,7,16/12/2019
6926,2,5,10,5,4/9/2019
6926,4,7,8,6,10/6/2019
6926,3,7,6,3,20/3/2019
10480,6,6,7,6,3/12/2019
10480,5,6,8,7,18/9/2019
10480,5,4,10,5,10/6/2019
10480,3,3,10,5,31/3/2019
4616,8,10,8,10,6/12/2019
4612,3,6,7,4,12/12/2019
4612,4,8,7,6,24/9/2019
4612,8,7,1,6,24/6/2019
4612,8,5,1,2,8/3/2019
8914,7,9,3,5,10/12/2019
8914,7,9,2,6,13/9/2019
8914,5,7,3,7,23/6/2019
5037,8,6,10,10,9/12/2019
5037,4,7,3,6,20/9/2019
10222,9,5,8,5,3/12/2019
10222,10,7,10,7,10/9/2019
10222,10,5,10,8,16/6/2019
10222,8,3,10,7,15/3/2019
10785,9,8,1,4,30/12/2019
10785,7,10,2,8,22/9/2019
10785,7,10,4,5,20/6/2019
10785,6,10,3,6,18/3/2019
4242,9,6,3,5,5/12/2019
4242,10,4,4,7,13/9/2019
4477,7,6,5,4,18/12/2019
4477,7,4,6,6,25/9/2019
4477,5,3,5,6,15/6/2019
4477,3,1,3,2,16/3/2019
5795,3,3,1,4,28/12/2019
5795,4,4,2,2,18/9/2019
5795,5,2,1,1,20/6/2019
1283,1,3,8,2,13/12/2019
1283,3,3,8,2,25/9/2019
1283,5,5,8,4,12/6/2019
1283,3,7,10,7,15/3/2019
11841,9,6,9,8,24/12/2019
11841,10,5,10,9,29/9/2019
11841,10,6,8,6,24/6/2019
11841,10,6,9,9,24/3/2019
7550,1,10,8,8,31/12/2019
7550,1,8,6,5,2/9/2019
7550,1,8,7,4,21/6/2019
7550,1,6,6,3,7/3/2019
10002,6,1,9,3,28/12/2019
10002,7,1,10,8,3/9/2019
10002,6,7,7,5,29/6/2019
10002,8,5,8,6,6/3/2019
1092,6,3,10,8,31/12/2019
1092,7,1,8,5,15/9/2019
1092,1,6,1,3,15/6/2019
1092,1,8,3,2,31/3/2019
9507,7,8,3,7,26/12/2019
9507,7,7,5,4,1/9/2019
9507,9,9,8,6,29/6/2019
9507,10,10,8,7,21/3/2019
7844,1,2,4,1,16/12/2019
7844,1,1,5,2,3/9/2019
7844,1,3,5,3,21/6/2019
5514,6,10,8,9,28/12/2019
5514,6,10,6,9,25/9/2019
5514,6,10,4,7,30/6/2019
5514,6,10,5,6,31/3/2019
2763,6,8,8,6,18/12/2019
2763,5,10,9,10,22/9/2019
2763,8,6,6,6,22/6/2019
2763,7,5,5,5,16/3/2019
6888,4,4,10,7,20/12/2019
6888,5,6,10,5,11/9/2019
6888,6,6,10,6,8/6/2019
6888,8,4,9,5,13/3/2019
4227,4,6,3,6,26/12/2019
4227,2,7,3,2,26/9/2019
4227,1,6,2,4,2/6/2019
4227,3,6,4,5,11/3/2019
6097,10,5,8,6,21/12/2019
6097,9,6,8,9,8/9/2019
6097,10,8,7,10,20/6/2019
6097,10,9,7,7,2/3/2019
5470,10,6,6,8,3/12/2019
2243,3,6,6,6,4/12/2019
2243,2,4,5,5,17/9/2019
2243,3,2,5,3,24/6/2019
2243,5,2,4,1,20/3/2019
188,1,6,3,4,24/12/2019
188,1,5,4,2,18/9/2019
188,1,6,4,2,18/6/2019
188,4,4,2,2,14/3/2019
7250,4,10,10,6,24/12/2019
7250,5,8,9,9,9/9/2019
7250,4,10,10,9,15/6/2019
3773,5,9,8,9,31/12/2019
3773,6,10,6,5,7/9/2019
3773,8,9,6,8,4/6/2019
10534,4,8,10,6,31/12/2019
10534,6,9,10,9,8/9/2019
10534,6,7,10,5,18/6/2019
60,4,2,1,2,8/12/2019
60,6,2,1,4,1/9/2019
60,7,4,2,6,1/6/2019
60,6,4,2,5,13/3/2019
9916,9,9,5,7,7/12/2019
9916,8,10,3,5,25/9/2019
9916,7,10,1,8,16/6/2019
9916,9,9,1,5,29/3/2019
10375,7,8,7,6,12/12/2019
10375,7,6,5,7,14/9/2019
2104,3,5,10,7,25/12/2019
2104,3,6,8,7,19/9/2019
2104,5,6,8,8,24/6/2019
2104,6,8,7,7,10/3/2019
8031,4,2,2,1,30/12/2019
8031,6,1,4,2,13/9/2019
8031,4,1,3,2,17/6/2019
8031,2,2,4,2,7/3/2019
11929,5,10,6,5,15/12/2019
9821,10,7,10,10,2/12/2019
9821,10,5,8,9,10/9/2019
9821,10,3,7,8,26/6/2019
9821,9,5,7,5,21/3/2019
5763,5,6,10,7,10/12/2019
10176,3,10,7,5,28/12/2019
10176,5,10,6,9,27/9/2019
10176,6,10,7,9,13/6/2019
10176,3,10,10,9,15/3/2019
8012,1,2,2,1,29/12/2019
6221,7,2,9,7,21/12/2019
6221,7,9,3,6,23/9/2019
6221,7,9,5,8,28/6/2019
6221,7,10,7,6,8/3/2019
611,6,7,1,6,22/12/2019
611,6,6,1,6,10/9/2019
611,9,6,2,7,23/6/2019
17,2,2,6,1,24/12/2019
17,1,1,8,1,19/9/2019
17,3,1,8,5,25/6/2019
17,5,1,8,5,30/3/2019
2319,4,8,7,4,13/12/2019
2319,5,8,7,4,1/9/2019
2319,3,6,8,7,13/6/2019
3592,6,9,3,6,5/12/2019
3592,5,9,3,7,30/9/2019
3592,6,10,1,5,28/6/2019
3592,4,10,1,4,17/3/2019
7645,9,8,7,9,27/12/2019
7645,9,6,5,8,26/9/2019
7645,9,5,6,7,21/6/2019
7645,3,4,9,5,27/3/2019
11699,8,6,6,5,16/12/2019
11699,6,5,6,3,13/9/2019
11699,6,6,9,9,21/6/2019
11699,3,7,9,5,28/3/2019
3043,3,2,6,2,7/12/2019
3043,2,1,5,4,14/9/2019
3043,3,1,6,3,30/6/2019
3043,5,3,6,2,23/3/2019
1915,2,7,4,3,28/12/2019
1915,3,9,3,3,26/9/2019
1915,4,7,3,6,13/6/2019
1457,10,3,3,3,18/12/2019
1457,3,1,7,4,1/9/2019
1457,2,3,6,5,10/6/2019
1457,3,3,7,5,30/3/2019
11112,3,3,9,4,7/12/2019
